Start Date,12/23/2025,,Tool ID,2976
Start Time,12:32:00 AM
End Date,12/23/2025,,Red/Blue Indicator,Red
End Time,01:02:00 AM,,Refrigerant Type,R-404A
Duration,30minutes
Interval,1min

Time,Pressure(psig),Liquid Saturation(°F)
12:32:00 AM,255.9,105.3
12:33:00 AM,247.8,103.0
12:34:00 AM,269.5,109.1
12:35:00 AM,334.0,125.0
12:36:00 AM,352.2,129.1
12:37:00 AM,359.7,130.7
12:38:00 AM,359.5,130.7
12:39:00 AM,354.1,129.5
12:40:00 AM,348.8,128.3
12:41:00 AM,343.8,127.2
12:42:00 AM,341.2,126.6
12:43:00 AM,337.2,125.7
12:44:00 AM,334.1,125.0
12:45:00 AM,330.6,124.2
12:46:00 AM,328.5,123.7
12:47:00 AM,299.0,116.7
12:48:00 AM,288.1,113.9
12:49:00 AM,320.5,121.9
12:50:00 AM,327.8,123.6
12:51:00 AM,331.6,124.4
12:52:00 AM,306.1,118.4
12:53:00 AM,294.3,115.5
12:54:00 AM,284.1,112.9
12:55:00 AM,309.4,119.2
12:56:00 AM,325.9,123.1
12:57:00 AM,329.9,124.0
12:58:00 AM,302.0,117.4
12:59:00 AM,291.1,114.7
01:00:00 AM,280.9,112.1
01:01:00 AM,297.7,116.4
01:02:00 AM,324.6,122.8
