Start Date,12/23/2025,,Tool ID,8975
Start Time,12:32:00 AM
End Date,12/23/2025,,Red/Blue Indicator,Blue
End Time,01:02:00 AM
Duration,30minutes
Interval,1min

Time,Temperature(°F)
12:32:00 AM,45.1
12:33:00 AM,46.8
12:34:00 AM,32.3
12:35:00 AM,34.5
12:36:00 AM,32.9
12:37:00 AM,33.2
12:38:00 AM,31.5
12:39:00 AM,28.6
12:40:00 AM,21.7
12:41:00 AM,19.8
12:42:00 AM,18.1
12:43:00 AM,17.3
12:44:00 AM,15.9
12:45:00 AM,16.0
12:46:00 AM,13.8
12:47:00 AM,25.3
12:48:00 AM,30.4
12:49:00 AM,22.0
12:50:00 AM,18.5
12:51:00 AM,13.7
12:52:00 AM,18.2
12:53:00 AM,26.7
12:54:00 AM,31.5
12:55:00 AM,22.2
12:56:00 AM,18.3
12:57:00 AM,13.7
12:58:00 AM,20.8
12:59:00 AM,27.5
01:00:00 AM,32.1
01:01:00 AM,23.9
01:02:00 AM,23.2
