Start Date,12/23/2025,,Tool ID,5699
Start Time,12:32:00 AM
End Date,12/23/2025,,Red/Blue Indicator,Red
End Time,01:02:00 AM
Duration,30minutes
Interval,1min

Time,DB(°F),RH%,WB(°F),DP(°F),EN(Btu)
12:32:00 AM,43.6,80.20%,40.9,37.9,15.7
12:33:00 AM,43.6,81.30%,41.2,38.3,15.8
12:34:00 AM,43.7,82.00%,41.3,38.5,15.8
12:35:00 AM,43.3,80.60%,40.7,37.7,15.6
12:36:00 AM,42.8,72.50%,39.2,34.6,14.9
12:37:00 AM,42.6,68.50%,38.5,33.0,14.5
12:38:00 AM,42.5,68.30%,38.3,32.8,14.5
12:39:00 AM,41.9,63.70%,37.1,30.7,13.9
12:40:00 AM,41.3,61.00%,36.2,29.2,13.5
12:41:00 AM,40.7,58.90%,35.3,27.9,13.1
12:42:00 AM,40.2,57.00%,34.6,26.8,12.8
12:43:00 AM,39.5,55.50%,33.8,25.8,12.5
12:44:00 AM,39.0,54.20%,33.2,24.8,12.2
12:45:00 AM,38.4,53.10%,32.5,23.9,12.0
12:46:00 AM,37.8,52.60%,32.0,23.2,11.8
12:47:00 AM,37.4,55.60%,32.0,24.0,11.8
12:48:00 AM,37.3,63.10%,32.8,26.7,12.1
12:49:00 AM,37.3,68.10%,33.5,28.3,12.4
12:50:00 AM,37.0,64.10%,32.7,26.8,12.0
12:51:00 AM,36.7,58.00%,31.7,24.4,11.6
12:52:00 AM,36.2,54.70%,30.9,22.7,11.3
12:53:00 AM,36.0,58.20%,31.1,23.8,11.4
12:54:00 AM,36.0,64.80%,31.9,26.2,11.7
12:55:00 AM,36.2,69.80%,32.6,27.8,12.0
12:56:00 AM,35.9,67.00%,32.0,26.7,11.8
12:57:00 AM,35.7,59.70%,31.0,24.1,11.3
12:58:00 AM,35.3,55.80%,30.2,22.4,11.0
12:59:00 AM,35.2,60.50%,30.7,24.0,11.2
01:00:00 AM,35.3,66.50%,31.4,26.1,11.5
01:01:00 AM,35.5,71.00%,32.1,27.6,11.8
01:02:00 AM,35.3,69.50%,31.8,27.0,11.7
